date;week;weekday;value;target;category;place
17/10/13 00:00;1;4;350;Оплата ноября;Интернет;Россия
17/10/13 00:00;1;4;265,7;;Продукты;Россия
18/10/13 00:00;1;5;500;Подарок Юле на декрет;Подарки;Россия
18/10/13 00:00;1;5;83,04;;Продукты;Россия
19/10/13 00:00;1;6;235;Пицца;Кафе и рестораны;Россия
19/10/13 00:00;1;6;115;Кофе;Кафе и рестораны;Россия
19/10/13 00:00;1;6;1578;;Продукты;Россия
20/10/13 00:00;1;7;262,3;;Ремонт;Россия
20/10/13 00:00;1;7;203,3;;Ремонт;Россия
20/10/13 00:00;1;7;625,72;;Продукты;Россия
20/10/13 00:00;1;7;374;;Одежда, обувь, аксессуары;Россия
21/10/13 00:00;2;1;124,5;Телеграмма;Прочие расходы;Россия
22/10/13 00:00;2;2;110;;Продукты;Россия
22/10/13 00:00;2;2;53;;Продукты;Россия
22/10/13 00:00;2;2;810,5;;Продукты;Россия
22/10/13 00:00;2;2;1,5;Пакет;Продукты;Россия
22/10/13 00:00;2;2;1400;Английский;Обучение, книги;Россия
23/10/13 00:00;2;3;35;;Проезд;Россия
25/10/13 00:00;2;5;98;;Продукты;Россия
25/10/13 00:00;2;5;287;;Продукты;Россия
25/10/13 00:00;2;5;11500;;Прочие расходы;Россия
25/10/13 00:00;2;5;149,99;Подключения интернет банка;Комиссия банка;Россия
25/10/13 00:00;2;5;490,3;Быт. Химия;Бытовая химия;Россия
25/10/13 00:00;2;5;144,95;Быт. Химия грунт;Бытовая химия;Россия
26/10/13 00:00;2;6;5005;Ботинки и карта скидок;Одежда, обувь, аксессуары;Россия
27/10/13 00:00;2;7;169;Приложение для телефона;Прочие расходы;Россия
27/10/13 00:00;2;7;1660;;Кафе и рестораны;Россия
27/10/13 00:00;2;7;70;Чаевые ;Кафе и рестораны;Россия
27/10/13 00:00;2;7;140;;Прочие расходы;Россия
27/10/13 00:00;2;7;487,02;;Продукты;Россия
28/10/13 00:00;3;1;3000;;Прочие расходы;Россия
28/10/13 00:00;3;1;2500;;Прочие расходы;Россия
28/10/13 00:00;3;1;2232;Простава;Кафе и рестораны;Россия
28/10/13 00:00;3;1;5000;Оплата долга;Прочие расходы;Россия
28/10/13 00:00;3;1;186,65;Телеграмма;Прочие расходы;Россия
28/10/13 00:00;3;1;170,45;Телеграмма;Прочие расходы;Россия
28/10/13 00:00;3;1;178,55;Телеграмма;Прочие расходы;Россия
