date;week;weekday;value;target;category;place
02/05/12 11:00;19;3;120,36;Паром Бруклин-Манхеттен;транспорт;НЙ
02/05/12 14:00;19;3;120,36;Паром Бруклин-Манхеттен;транспорт;НЙ
02/05/12 02:18;19;3;1 093,79;;рестораны;НЙ
02/05/12 12:33;19;3;543,32;;транспорт;НЙ
03/05/12 21:00;19;4;1 207,38;Anella;рестораны;НЙ
03/05/12 11:00;19;4;120,71;Паром Бруклин-Манхеттен;транспорт;НЙ
07/05/12 15:07;20;1;4 167,73;Отель Double Tree;отели;Кливленд
12/05/12 13:00;20;6;2 084,36;Сувениры из Биг-сюра;подарки;Биг сюр
13/05/12 07:00;20;7;100,61;;супермаркеты;ЛА
13/05/12 07:00;20;7;926,51;;супермаркеты;ЛА
13/05/12 08:00;20;7;461,24;Панда-экспресс;рестораны;ЛА
13/05/12 08:00;20;7;2 506,9;Виски;алко;ЛА
15/05/12 00:00;21;2;526,29;;книги;
15/05/12 19:44;21;2;1 070;Friends Forever;рестораны;
15/05/12 19:53;21;2;45;;медицина;
15/05/12 20:21;21;2;760;;кино;
16/05/12 00:18;21;3;1 041,45;Бахетле;супермаркеты;
16/05/12 20:06;21;3;4 000;Открытый мир, йога;спорт;
18/05/12 08:33;21;5;225;Мак-дональдс;рестораны;
19/05/12 20:44;21;6;3 865;Япоша;рестораны;
20/05/12 00:55;21;7;503;Азбука вкуса;супермаркеты;
20/05/12 13:57;21;7;400;Интернет на Зоологической;ЖКХ;
20/05/12 16:12;21;7;104;Икеа, мелочи;дом;
21/05/12 11:00;22;1;5 000;;наличные;
21/05/12 11:42;22;1;116;Перекрёсток;супермаркеты;
21/05/12 13:21;22;1;384;Глобус-гурмэ;супермаркеты;
25/05/12 13:00;22;5;20 000;;наличные;
30/05/12 18:01;23;3;506;;кино;
30/05/12 20:36;23;3;1 600;Friends Forever;рестораны;
31/05/12 21:13;23;4;242;Глобус-гурмэ;супермаркеты;
05/06/12 00:00;24;2;66,05;;работа;
06/06/12 20:13;24;3;110;Дом оранжевой коровы;рестораны;
13/06/12 20:37;25;3;500;Мобильный;мобильный;
13/06/12 23:31;25;3;580,8;Билеты в Брянск;транспорт;
13/06/12 23:32;25;3;1 636,7;Билеты в Брянск;транспорт;
16/06/12 18:01;25;6;455;Джаганнат;рестораны;
17/06/12 00:59;25;7;1 408;Перекрёсток;супермаркеты;
17/06/12 18:01;25;7;375;Джаганнат;рестораны;
21/06/12 00:00;26;4;33,57;;работа;
22/06/12 00:00;26;5;553,95;;книги;
22/06/12 19:05;26;5;3 800;Моё дело;работа;
22/06/12 19:12;26;5;1 091;Билеты в Брянск;транспорт;
23/06/12 10:44;26;6;110;;книги;
23/06/12 14:42;26;6;350;Перекрёсток;супермаркеты;
26/06/12 05:28;27;2;439,4;;транспорт;
27/06/12 00:00;27;3;33,47;;работа;
28/06/12 00:00;27;4;335,96;;работа;
03/07/12 00:11;28;2;135,3;Алые паруса;супермаркеты;
04/07/12 12:14;28;3;134;Глобус-гурмэ;супермаркеты;
07/07/12 00:00;28;6;300,19;;работа;
08/07/12 16:58;28;7;925;Джаганнат;рестораны;
10/07/12 21:36;29;2;26 243,2;Билеты в ЮАР;транспорт;
11/07/12 11:29;29;3;230;Хумус;рестораны;будва
